Building,Latitude,Longitude,Point 1 Lat,Point 1 Long,Point 2 Lat,Point 2 Long,Radius,bass,drum,fx,guitar,little,piano,ride,string,synth
Becker House,42.4481495615037,-76.4895361661911,42.4479991443297,-76.4900404214859,42.4484068532008,-76.4889460802078,0.000583911242514303,1,0,0,0,0,1,1,0,1
Cook House,42.4488957045138,-76.4896595478057,42.4487551848914,-76.4899975061416,42.4489728912145,-76.4891928434372,0.000416796746325535,1,0,0,0,1,1,1,1,0
Rose House,42.4478249766244,-76.4888387918472,42.4478012264452,-76.4893645048141,42.4478922687498,-76.4884042739868,0.000482268582568233,1,1,0,1,0,1,1,0,0
Hans Beth House,42.4470808000651,-76.4885222911834,42.446827461347,-76.4878678321838,42.4472905954154,-76.4892089366912,0.000709410752860267,1,0,0,0,0,1,1,1,0
Keeton House,42.4466612072564,-76.4894986152648,42.4463286977516,-76.4899063110351,42.447025382308,-76.4890533685684,0.000550654206968449,1,1,0,0,0,1,1,0,1
War Memorial,42.4475102860198,-76.488079726696,42.4472787202257,-76.4880475401878,42.4477517468764,-76.488077044487,0.000236972949904873,1,1,0,0,0,1,1,0,0
Noyes Fitness Center,42.4464514097982,-76.4879965782165,42.4463009885466,-76.4881843328476,42.446587976148,-76.4878115057945,0.000235245560469731,0,0,1,0,0,0,0,0,0
Baker Hall,42.4486601855316,-76.4884579181671,42.4483316449679,-76.4885383844375,42.4490599735318,-76.4882755279541,0.000387155016712375,1,0,0,0,0,1,1,0,0
,,,,,,,,,,,,,,,,
